Player,Team,Period,Min,Sec,Shot Play,Shot Type,Shot X,Shot Y
Chris Eagles,Bolton Wanderers,1,2,59,regular play,Shot saved,75.9,66.6
Zat Knight,Bolton Wanderers,1,10,3,regular play,Shot off target,87.3,41.4
Kevin Davies,Bolton Wanderers,1,10,39,regular play,Shot saved,93.0,54.8
James Milner,Manchester City,1,14,39,regular play,Shot saved,96.1,52.5
David Silva,Manchester City,1,16,26,regular play,Shot saved,81.2,27.6
Sergio Agüero,Manchester City,1,17,52,throw-in set piece,Shot off target,92.7,56.4
Chris Eagles,Bolton Wanderers,1,21,14,regular play,Shot saved,79.0,30.1
Sergio Agüero,Manchester City,1,24,43,regular play,Shot saved,89.8,24.3
David Silva,Manchester City,1,25,14,regular play,Goal,78.4,38.2
Sergio Agüero,Manchester City,1,34,56,regular play,Shot off target,92.8,48.0
Gareth Barry,Manchester City,1,36,59,regular play,Goal,74.8,46.4
Ivan Klasnic,Bolton Wanderers,1,38,54,regular play,Goal,91.4,57.3
Edin Dzeko,Manchester City,2,46,39,regular play,Goal,90.6,34.7
James Milner,Manchester City,2,49,18,regular play,Shot saved,79.3,65.9
Chris Eagles,Bolton Wanderers,2,51,11,regular play,Shot off target,88.4,70.6
James Milner,Manchester City,2,52,36,regular play,Shot off target,76.5,45.3
Edin Dzeko,Manchester City,2,58,39,regular play,Shot off target,92.3,46.4
Aleksandar Kolarov,Manchester City,2,60,31,regular play,Shot saved,75.1,74.0
Kevin Davies,Bolton Wanderers,2,62,6,,Goal,90.7,48.8
Gnegneri Yaya Touré,Manchester City,2,67,7,,Shot off target,71.4,53.9
David Silva,Manchester City,2,68,41,,Shot saved,92.7,56.7
Aleksandar Kolarov,Manchester City,2,75,6,,Shot off target,85.2,65.1
Adam Johnson,Manchester City,2,83,9,,Shot off target,95.3,35.5
Carlos Tévez,Manchester City,2,85,41,,Shot off target,87.5,55.9
Carlos Tévez,Manchester City,2,91,53,,Shot saved,91.8,77.2
